Unnamed: 0,head,label,score,tail
0,3873,,0.22220549919221133,4363
1,23,,0.04303248453627462,5084
2,10,,0.7880557832610288,4477
3,156,,0.29255594316148104,1658
4,1216,,0.18150885890734436,3446
5,22,,0.8791294627987863,3956
6,24,,0.5322025597130897,3611
7,18,,0.856196973624914,5236
8,14,,0.6247411145860219,2680
9,2,,0.9370813273112676,5132
10,14,,0.1630574744320733,1338
11,1274,,0.050040668067033556,4600
12,4,,0.28186359162372043,1157
13,182,,0.08563769963922796,1113
14,19,,0.1361927851911432,5099
15,15,,0.14637314836180038,3617
16,28,,0.6762388429398208,4596
17,1549,,0.2804008208022253,2479
18,2,,0.9002013920944144,2791
19,1756,,0.975443297501006,5045
20,33,,0.240982777299372,5270
21,2063,,0.5708876949532178,919
22,267,,0.011000149381124591,201
23,2472,,0.9343055504244818,1252
24,32,,0.2788027858102039,1069
25,3356,,0.3278753128797631,4902
26,4600,,0.46334925550082207,4181
27,4640,,0.5894846402564369,1006
28,31,,0.6932065492317011,1581
29,13,,0.8432692822505362,2108
30,2129,,0.13308889720271921,1853
31,2893,,0.23105474945391702,3821
32,12,,0.7603674210294841,2086
33,1,,0.507432317273555,109
34,24,,0.5581504980910768,2046
35,15,,0.6372609058681825,1910
36,2388,,0.42370829334099835,1500
37,186,,0.42084089150896986,1211
38,29,,0.3661900950957071,3366
39,1657,,0.44243838160621385,727
40,2729,,0.5617124721867047,3056
41,4743,,0.7144669034202573,3774
42,4437,,0.299864500914241,2664
43,1156,,0.9948979940288735,5157
44,26,,0.381712926314807,1796
45,1425,,0.43907718232433934,103
46,3983,,0.9422809503118443,174
47,12,,0.6164308954374661,4372
48,26,,0.5555233717802854,900
49,4070,,0.14703056811329673,5011
50,24,,0.9635842782755248,37
51,2324,,0.11013424885523093,3922
52,1280,,0.4313277367616899,261
53,1983,,0.8262303286955064,1433
54,5018,,0.4604025043104949,560
55,4475,,0.25672946759838244,2987
56,5316,,0.5785665121901528,4378
57,35,,0.5548256547049311,3436
58,32,,0.5361687851654592,4092
59,4975,,0.6102509220935598,1561
60,2950,,0.9108141278040328,5030
61,2981,,0.8690788859279401,197
62,28,,0.882802961057211,1594
63,691,,0.8494568402273424,227
64,5241,,0.6600803084608853,4755
65,3793,,0.5800565220478936,70
66,26,,0.21006365468575872,4313
67,4300,,0.8432405290154201,4014
68,31,,0.7293733457020362,2156
69,3523,,0.33971201042654087,2432
70,21,,0.8051995738803973,203
71,3922,,0.5060286748977548,2351
72,454,,0.20163580104509882,4861
73,3990,,0.20196379373432416,4243
74,78,,0.3251246034297577,1736
75,827,,0.08044548388946338,2823
76,2342,,0.80200587656282,2179
77,34,,0.35465017436225843,2250
78,1630,,0.7315291972468287,2778
79,5181,,0.05896835682580248,1329
80,29,,0.5634252918372692,3204
81,518,,0.9148327937577331,5130
82,4437,,0.1755785362188883,975
83,2,,0.7726589743116598,4408
84,3677,,0.5128098085846355,380
85,28,,0.8093150131106783,2091
86,3351,,0.787214923418908,1112
87,3779,,0.06883794470799987,3335
88,4877,,0.05683935006021423,620
89,4282,,0.287446424465551,4606
90,3,,0.9526769685546447,5397
91,174,,0.099409830467032,3868
92,4,,0.268604567202567,739
93,14,,0.5065280522272831,2050
94,31,,0.0757529252843061,2049
95,0,,0.9845770569823095,5321
96,3414,,0.28142822342471585,4437
97,33,,0.8158876419925392,34
98,0,,0.047135773782332135,2922
99,1077,,0.3876777140237567,3687
100,4,,0.9993152395049332,889
101,20,,0.20220697759681328,3444
102,1406,,0.9598237391152246,4267
103,30,,0.7151681783764398,2547
104,34,,0.09941362052507619,400
105,431,,0.0014744816112620684,2821
106,1,,0.8257923443152205,1398
107,17,,0.1889280443208019,4105
108,1308,,0.5987011327645141,1417
109,9,,0.9494439182504988,4861
110,19,,0.6837067735567954,2987
111,21,,0.8593271741847845,549
112,11,,0.22859862515772578,4777
113,4470,,0.9483021942260415,481
114,4,,0.7787391576051864,223
115,25,,0.059515696128080386,5151
116,8,,0.20476888922079894,3816
117,8,,0.21306013919847622,1370
118,14,,0.6880321086186016,4821
119,3496,,0.9912520090835684,3349
120,2,,0.9156069263448275,4468
121,6,,0.9927485258967012,980
122,6,,0.6091935457926455,3134
123,25,,0.5803854064679023,765
124,21,,0.5069180106137401,4355
125,3610,,0.1166605457779053,646
126,17,,0.08583260643514268,2332
127,3339,,0.6845673793222117,4116
128,36,,0.9221303721674429,199
129,5,,0.5713754555143761,1356
130,4757,,0.7758955485613915,1431
131,3241,,0.11459787883601413,3740
132,25,,0.6537155744586384,2639
133,25,,0.6357457965377874,528
134,3,,0.14199288746814964,4843
135,23,,0.5933899674646639,460
136,620,,0.8120264969910878,443
137,8,,0.7524225233441947,4249
138,925,,0.2968420301914886,4383
